ord    	character
   9228	␌
   9229	␍
   9230	␎
   9231	␏
   9232	␐
   9233	␑
   9234	␒
   9235	␓
   9236	␔
   9237	␕
   9238	␖
   9239	␗
   9240	␘
   9241	␙
   9242	␚
   9243	␛
   9244	␜
   9245	␝
   9246	␞
   9247	␟
   9249	␡
   9280	⑀
   9281	⑁
   9282	⑂
   9283	⑃
   9284	⑄
   9285	⑅
   9286	⑆
   9287	⑇
   9288	⑈
   9289	⑉
   9290	⑊
   9312	①
   9313	②
   9314	③
   9315	④
   9316	⑤
   9317	⑥
   9318	⑦
   9319	⑧
   9320	⑨
   9321	⑩
   9322	⑪
   9323	⑫
   9324	⑬
   9325	⑭
   9326	⑮
   9327	⑯
   9328	⑰
   9329	⑱
   9330	⑲
   9331	⑳
   9332	⑴
   9333	⑵
   9334	⑶
   9335	⑷
   9336	⑸
   9337	⑹
   9338	⑺
   9339	⑻
   9340	⑼
   9341	⑽
   9342	⑾
   9343	⑿
   9344	⒀
   9345	⒁
   9346	⒂
   9347	⒃
   9348	⒄
   9349	⒅
   9350	⒆
   9351	⒇
   9352	⒈
   9353	⒉
   9354	⒊
   9355	⒋
   9356	⒌
   9357	⒍
   9358	⒎
   9359	⒏
   9360	⒐
   9361	⒑
   9362	⒒
   9363	⒓
   9364	⒔
   9365	⒕
   9366	⒖
   9367	⒗
   9368	⒘
   9369	⒙
   9370	⒚
   9371	⒛
   9372	⒜
   9373	⒝
   9374	⒞
   9375	⒟
   9376	⒠
   9377	⒡
   9378	⒢
   9379	⒣
   9380	⒤
   9381	⒥
   9382	⒦
   9383	⒧
   9384	⒨
   9385	⒩
   9386	⒪
   9387	⒫
   9388	⒬
   9389	⒭
   9390	⒮
   9391	⒯
   9392	⒰
   9393	⒱
   9394	⒲
   9395	⒳
   9396	⒴
   9397	⒵
   9398	Ⓐ
   9399	Ⓑ
   9400	Ⓒ
   9401	Ⓓ
   9402	Ⓔ
   9403	Ⓕ
   9404	Ⓖ
   9405	Ⓗ
   9406	Ⓘ
   9407	Ⓙ
   9408	Ⓚ
   9409	Ⓛ
   9410	Ⓜ
   9411	Ⓝ
   9412	Ⓞ
   9413	Ⓟ
   9414	Ⓠ
   9415	Ⓡ
   9416	Ⓢ
   9417	Ⓣ
   9418	Ⓤ
   9419	Ⓥ
   9420	Ⓦ
   9421	Ⓧ
   9422	Ⓨ
   9423	Ⓩ
   9424	ⓐ
   9425	ⓑ
   9426	ⓒ
   9427	ⓓ
   9428	ⓔ
   9429	ⓕ
   9430	ⓖ
   9431	ⓗ
   9432	ⓘ
   9433	ⓙ
   9434	ⓚ
   9435	ⓛ
   9436	ⓜ
   9437	ⓝ
   9438	ⓞ
   9439	ⓟ
   9440	ⓠ
   9441	ⓡ
   9442	ⓢ
   9443	ⓣ
   9444	ⓤ
   9445	ⓥ
   9446	ⓦ
   9447	ⓧ
   9448	ⓨ
   9449	ⓩ
   9450	⓪
   9451	⓫
   9452	⓬
   9453	⓭
   9454	⓮
   9455	⓯
   9456	⓰
   9457	⓱
   9458	⓲
   9459	⓳
   9460	⓴
   9461	⓵
   9462	⓶
   9463	⓷
   9464	⓸
   9465	⓹
   9466	⓺
   9467	⓻
   9468	⓼
   9469	⓽
   9470	⓾
   9472	─
   9473	━
   9474	│
   9484	┌
   9488	┐
   9492	└
   9496	┘
   9500	├
   9501	┝
   9508	┤
   9509	┥
   9516	┬
   9523	┳
   9524	┴
   9532	┼
   9535	┿
   9552	═
   9553	║
   9554	╒
   9555	╓
   9556	╔
   9557	╕
   9558	╖
   9559	╗
   9560	╘
   9561	╙
   9562	╚
   9563	╛
   9564	╜
   9565	╝
   9566	╞
   9567	╟
   9568	╠
   9569	╡
   9570	╢
   9571	╣
   9572	╤
   9573	╥
   9574	╦
   9575	╧
   9576	╨
   9577	╩
   9578	╪
   9579	╫
   9580	╬
   9581	╭
   9582	╮
   9583	╯
   9584	╰
   9585	╱
   9586	╲
   9587	╳
   9588	╴
   9601	▁
   9602	▂
   9603	▃
   9604	▄
   9605	▅
   9606	▆
   9607	▇
   9608	█
   9609	▉
   9610	▊
   9611	▋
   9612	▌
   9613	▍
   9614	▎
   9615	▏
   9619	▓
   9620	▔
   9621	▕
   9632	■
   9633	□
   9635	▣
   9636	▤
   9637	▥
   9638	▦
   9639	▧
   9640	▨
   9641	▩
   9650	▲
   9651	△
   9652	▴
   9653	▵
   9654	▶
   9655	▷
   9656	▸
   9657	▹
   9658	►
   9659	▻
   9660	▼
   9661	▽
   9662	▾
   9663	▿
   9664	◀
   9665	◁
   9666	◂
   9667	◃
   9668	◄
   9669	◅
   9670	◆
   9671	◇
   9672	◈
   9673	◉
   9675	○
   9676	◌
   9677	◍
   9678	◎
   9679	●
   9680	◐
   9681	◑
   9682	◒
   9683	◓
   9684	◔
   9685	◕
   9686	◖
   9687	◗
   9688	◘
   9689	◙
   9690	◚
   9691	◛
   9692	◜
   9698	◢
   9699	◣
   9700	◤
   9701	◥
   9728	☀
   9729	☁
   9730	☂
   9731	☃
   9732	☄
   9733	★
   9734	☆
   9735	☇
   9736	☈
   9737	☉
   9738	☊
   9739	☋
   9742	☎
   9743	☏
   9744	☐
   9745	☑
   9746	☒
   9747	☓
   9748	☔
   9749	☕
   9750	☖
   9751	☗
   9752	☘
   9753	☙
   9754	☚
   9755	☛
   9756	☜
   9757	☝
   9758	☞
   9759	☟
   9760	☠
   9761	☡
   9762	☢
   9763	☣
   9764	☤
   9765	☥
   9766	☦
   9767	☧
   9768	☨
   9769	☩
   9770	☪
   9771	☫
   9772	☬
   9773	☭
   9774	☮
   9775	☯
   9776	☰
   9777	☱
   9778	☲
   9779	☳
   9780	☴
   9781	☵
   9782	☶
   9783	☷
   9784	☸
   9785	☹
   9786	☺
   9787	☻
   9788	☼
   9789	☽
   9790	☾
   9791	☿
   9792	♀
   9793	♁
   9794	♂
   9795	♃
   9796	♄
   9797	♅
   9798	♆
   9799	♇
   9800	♈
   9801	♉
   9802	♊
   9803	♋
   9804	♌
   9805	♍
   9806	♎
   9807	♏
   9808	♐
   9809	♑
   9810	♒
   9811	♓
   9812	♔
   9813	♕
   9814	♖
   9815	♗
   9816	♘
   9817	♙
   9818	♚
   9819	♛
   9820	♜
   9821	♝
   9822	♞
   9823	♟
   9824	♠
   9825	♡
   9826	♢
   9827	♣
   9828	♤
   9829	♥
   9830	♦
   9831	♧
   9832	♨
   9833	♩
   9834	♪
   9835	♫
   9836	♬
   9837	♭
   9838	♮
   9839	♯
   9840	♰
   9841	♱
   9842	♲
   9843	♳
   9844	♴
   9845	♵
   9846	♶
   9847	♷
   9848	♸
   9849	♹
   9850	♺
   9851	♻
   9852	♼
   9853	♽
   9856	⚀
   9857	⚁
   9858	⚂
   9859	⚃
   9860	⚄
   9861	⚅
   9862	⚆
   9863	⚇
   9864	⚈
   9865	⚉
   9985	✁
   9986	✂
   9987	✃
   9988	✄
   9990	✆
   9991	✇
   9992	✈
   9993	✉
   9996	✌
   9997	✍
   9998	✎
   9999	✏
  10000	✐
  10001	✑
  10002	✒
  10004	✔
  10005	✕
  10006	✖
  10007	✗
  10008	✘
  10009	✙
  10010	✚
  10011	✛
  10012	✜
  10013	✝
  10014	✞
  10015	✟
  10016	✠
  10017	✡
  10018	✢
  10019	✣
  10020	✤
  10021	✥
  10025	✩
  10026	✪
  10027	✫
  10028	✬
  10029	✭
  10030	✮
  10031	✯
  10032	✰
  10033	✱
  10034	✲
  10035	✳
  10036	✴
  10037	✵
  10038	✶
  10039	✷
  10040	✸
  10041	✹
  10042	✺
  10043	✻
  10044	✼
  10045	✽
  10046	✾
  10047	✿
  10048	❀
  10049	❁
  10050	❂
  10051	❃
  10052	❄
  10053	❅
  10054	❆
  10055	❇
  10057	❉
  10058	❊
  10059	❋
  10077	❝
  10078	❞
  10082	❢
  10083	❣
  10084	❤
  10086	❦
  10094	❮
  10095	❯
  10096	❰
  10097	❱
  10102	❶
  10103	❷
  10104	❸
  10105	❹
  10106	❺
  10107	❻
  10108	❼
  10109	❽
  10110	❾
  10111	❿
  10112	➀
  10113	➁
  10114	➂
  10115	➃
  10116	➄
  10117	➅
  10118	➆
  10119	➇
  10120	➈
  10121	➉
  10122	➊
  10123	➋
  10124	➌
  10125	➍
  10126	➎
  10127	➏
  10128	➐
  10129	➑
  10130	➒
  10131	➓
  10132	➔
  10136	➘
  10137	➙
  10138	➚
  10139	➛
  10140	➜
  10142	➞
  10143	➟
  10144	➠
  10145	➡
  10146	➢
  10147	➣
  10148	➤
  10149	➥
  10150	➦
  10151	➧
  10152	➨
  10153	➩
  10154	➪
  10155	➫
  10156	➬
  10157	➭
  10158	➮
  10159	➯
  10161	➱
  10162	➲
  10163	➳
  10170	➺
  10171	➻
  10172	➼
  10173	➽
  10174	➾
  10548	⤴
  10549	⤵
  10594	⥢
  10596	⥤
  10625	⦁
  10686	⦾
  10687	⦿
  10752	⨀
  10808	⨸
  11013	⬅
  11904	⺀
  11907	⺃
  11908	⺄
  11910	⺆
  11911	⺇
  11912	⺈
  11913	⺉
  11914	⺊
  11916	⺌
  11917	⺍
  11918	⺎
  11919	⺏
  11920	⺐
  11921	⺑
  11922	⺒
  11923	⺓
  11925	⺕
  11932	⺜
  11933	⺝
  11941	⺥
  11943	⺧
  11946	⺪
  11948	⺬
  11950	⺮
  11958	⺶
  11964	⺼
  11966	⺾
  11974	⻆
  11978	⻊
  11980	⻌
  11981	⻍
  11983	⻏
  11990	⻖
  11991	⻗
  11998	⻞
  12003	⻣
  12032	⼀
  12033	⼁
  12034	⼂
  12035	⼃
  12083	⼳
  12193	⾡
  12272	⿰
  12273	⿱
  12274	⿲
  12275	⿳
  12276	⿴
  12277	⿵
  12278	⿶
  12279	⿷
  12280	⿸
  12281	⿹
  12282	⿺
  12283	⿻
  12288	　
  12289	、
  12290	。
  12291	〃
  12293	々
  12294	〆
  12295	〇
  12296	〈
  12297	〉
  12298	《
  12299	》
  12300	「
  12301	」
  12302	『
  12303	』
  12304	【
  12305	】
  12306	〒
  12307	〓
  12308	〔
  12309	〕
  12310	〖
  12311	〗
  12317	〝
  12318	〞
  12321	〡
  12322	〢
  12323	〣
  12324	〤
  12325	〥
  12326	〦
  12327	〧
  12328	〨
  12329	〩
  12344	〸
  12345	〹
  12346	〺
  12353	ぁ
  12354	あ
  12355	ぃ
  12356	い
  12357	ぅ
  12358	う
  12359	ぇ
  12360	え
  12361	ぉ
  12362	お
  12363	か
  12364	が
  12365	き
  12366	ぎ
  12367	く
  12368	ぐ
  12369	け
  12370	げ
  12371	こ
  12372	ご
  12373	さ
  12374	ざ
  12375	し
  12376	じ
  12377	す
  12378	ず
  12379	せ
  12380	ぜ
  12381	そ
  12382	ぞ
  12383	た
  12384	だ
  12385	ち
  12386	ぢ
  12387	っ
  12388	つ
  12389	づ
  12390	て
  12391	で
  12392	と
  12393	ど
  12394	な
  12395	に
  12396	ぬ
  12397	ね
  12398	の
  12399	は
  12400	ば
  12401	ぱ
  12402	ひ
  12403	び
  12404	ぴ
  12405	ふ
  12406	ぶ
  12407	ぷ
  12408	へ
  12409	べ
  12410	ぺ
  12411	ほ
  12412	ぼ
  12413	ぽ
  12414	ま
  12415	み
  12416	む
  12417	め
  12418	も
  12419	ゃ
  12420	や
  12421	ゅ
  12422	ゆ
  12423	ょ
  12424	よ
  12425	ら
  12426	り
  12427	る
  12428	れ
  12429	ろ
  12430	ゎ
  12431	わ
  12432	ゐ
  12433	ゑ
  12434	を
  12435	ん
  12445	ゝ
  12446	ゞ
  12449	ァ
  12450	ア
  12451	ィ
  12452	イ
  12453	ゥ
  12454	ウ
  12455	ェ
  12456	エ
  12457	ォ
  12458	オ
  12459	カ
  12460	ガ
  12461	キ
  12462	ギ
  12463	ク
  12464	グ
  12465	ケ
  12466	ゲ
  12467	コ
  12468	ゴ
  12469	サ
  12470	ザ
  12471	シ
  12472	ジ
  12473	ス
  12474	ズ
  12475	セ
  12476	ゼ
  12477	ソ
  12478	ゾ
  12479	タ
  12480	ダ
  12481	チ
  12482	ヂ
  12483	ッ
  12484	ツ
  12485	ヅ
  12486	テ
  12487	デ
  12488	ト
  12489	ド
  12490	ナ
  12491	ニ
  12492	ヌ
  12493	ネ
  12494	ノ
  12495	ハ
  12496	バ
  12497	パ
  12498	ヒ
  12499	ビ
  12500	ピ
  12501	フ
  12502	ブ
  12503	プ
  12504	ヘ
  12505	ベ
  12506	ペ
  12507	ホ
  12508	ボ
  12509	ポ
  12510	マ
  12511	ミ
  12512	ム
  12513	メ
  12514	モ
  12515	ャ
  12516	ヤ
  12517	ュ
  12518	ユ
  12519	ョ
  12520	ヨ
  12521	ラ
  12522	リ
  12523	ル
  12524	レ
  12525	ロ
  12526	ヮ
  12527	ワ
  12528	ヰ
  12529	ヱ
  12530	ヲ
  12531	ン
  12532	ヴ
  12533	ヵ
  12534	ヶ
  12540	ー
  12541	ヽ
  12542	ヾ
  12549	ㄅ
  12550	ㄆ
  12551	ㄇ
  12552	ㄈ
  12553	ㄉ
  12554	ㄊ
  12555	ㄋ
  12556	ㄌ
  12557	ㄍ
  12558	ㄎ
  12559	ㄏ
  12560	ㄐ
  12561	ㄑ
  12562	ㄒ
  12563	ㄓ
  12564	ㄔ
  12565	ㄕ
  12566	ㄖ
  12567	ㄗ
  12568	ㄘ
  12569	ㄙ
  12570	ㄚ
  12571	ㄛ
  12572	ㄜ
  12573	ㄝ
  12574	ㄞ
  12575	ㄟ
  12576	ㄠ
  12577	ㄡ
  12578	ㄢ
  12579	ㄣ
  12580	ㄤ
  12581	ㄥ
  12582	ㄦ
  12583	ㄧ
  12584	ㄨ
  12585	ㄩ
  12586	ㄪ
  12587	ㄫ
  12588	ㄬ
  12736	㇀
  12737	㇁
  12738	㇂
  12739	㇃
  12740	㇄
  12741	㇅
  12742	㇆
  12743	㇇
  12744	㇈
  12745	㇉
  12746	㇊
  12747	㇋
  12748	㇌
  12749	㇍
  12750	㇎
  12751	㇏
  12752	㇐
  12753	㇑
  12754	㇒
  12755	㇓
  12756	㇔
  12757	㇕
  12758	㇖
  12759	㇗
  12760	㇘
  12761	㇙
  12762	㇚
  12763	㇛
  12764	㇜
  12765	㇝
  12766	㇞
  12767	㇟
  12768	㇠
  12769	㇡
  12770	㇢
  12771	㇣
  12832	㈠
  12833	㈡
  12834	㈢
  12835	㈣
  12836	㈤
  12837	㈥
  12838	㈦
  12839	㈧
  12840	㈨
  12841	㈩
  12842	㈪
  12843	㈫
  12844	㈬
  12845	㈭
  12846	㈮
  12847	㈯
  12848	㈰
  12849	㈱
  12850	㈲
  12851	㈳
  12852	㈴
  12853	㈵
  12854	㈶
  12855	㈷
  12856	㈸
  12857	㈹
  12858	㈺
  12859	㈻
  12860	㈼
  12861	㈽
  12862	㈾
  12863	㈿
  12864	㉀
  12865	㉁
  12866	㉂
  12867	㉃
  12881	㉑
  12882	㉒
  12883	㉓
  12884	㉔
  12885	㉕
  12886	㉖
  12887	㉗
  12888	㉘
  12889	㉙
  12890	㉚
  12891	㉛
  12892	㉜
  12893	㉝
  12894	㉞
  12895	㉟
  12928	㊀
  12929	㊁
  12930	㊂
  12931	㊃
  12932	㊄
  12933	㊅
  12934	㊆
  12935	㊇
  12936	㊈
  12937	㊉
  12938	㊊
  12939	㊋
  12940	㊌
  12941	㊍
  12942	㊎
  12943	㊏
  12944	㊐
  12945	㊑
  12946	㊒
  12947	㊓
  12948	㊔
  12949	㊕
  12950	㊖
  12951	㊗
  12952	㊘
  12953	㊙
  12954	㊚
  12955	㊛
  12956	㊜
  12957	㊝
  12958	㊞
  12959	㊟
  12960	㊠
  12961	㊡
  12962	㊢
  12963	㊣
  12964	㊤
  12965	㊥
  12966	㊦
  12967	㊧
  12968	㊨
  12969	㊩
  12970	㊪
  12971	㊫
  12972	㊬
  12973	㊭
  12974	㊮
  12975	㊯
  12976	㊰
  12977	㊱
  12978	㊲
  12979	㊳
  12980	㊴
  12981	㊵
  12982	㊶
  12983	㊷
  12984	㊸
  12985	㊹
  12986	㊺
  12987	㊻
  12988	㊼
  12989	㊽
  12990	㊾
  12991	㊿
  12992	㋀
  12993	㋁
  12994	㋂
  12995	㋃
  12996	㋄
  12997	㋅
  12998	㋆
  12999	㋇
  13000	㋈
  13001	㋉
  13002	㋊
  13003	㋋
  13144	㍘
  13145	㍙
  13146	㍚
  13147	㍛
  13148	㍜
  13149	㍝
  13150	㍞
  13151	㍟
  13152	㍠
  13153	㍡
  13154	㍢
  13155	㍣
  13156	㍤
  13157	㍥
  13158	㍦
  13159	㍧
  13160	㍨
  13161	㍩
  13162	㍪
  13163	㍫
  13164	㍬
  13165	㍭
  13166	㍮
  13167	㍯
  13168	㍰
  13169	㍱
  13170	㍲
  13171	㍳
  13172	㍴
  13173	㍵
  13174	㍶
  13179	㍻
  13180	㍼
  13181	㍽
  13182	㍾
  13184	㎀
  13185	㎁
  13186	㎂
  13187	㎃
  13188	㎄
  13189	㎅
  13190	㎆
  13191	㎇
  13192	㎈
  13193	㎉
  13194	㎊
  13195	㎋
  13196	㎌
  13197	㎍
  13198	㎎
  13199	㎏
  13200	㎐
  13201	㎑
  13202	㎒
  13203	㎓
  13204	㎔
  13205	㎕
  13206	㎖
  13207	㎗
  13208	㎘
  13209	㎙
  13210	㎚
  13211	㎛
  13212	㎜
  13213	㎝
  13214	㎞
  13215	㎟
  13216	㎠
  13217	㎡
  13218	㎢
  13219	㎣
  13220	㎤
  13221	㎥
  13222	㎦
  13223	㎧
  13224	㎨
  13228	㎬
  13233	㎱
  13234	㎲
  13236	㎴
  13237	㎵
  13238	㎶
  13239	㎷
  13240	㎸
  13241	㎹
  13242	㎺
  13243	㎻
  13244	㎼
  13245	㎽
  13246	㎾
  13247	㎿
  13250	㏂
  13251	㏃
  13252	㏄
  13253	㏅
  13254	㏆
  13255	㏇
  13256	㏈
  13257	㏉
  13258	㏊
  13259	㏋
  13260	㏌
  13261	㏍
  13262	㏎
  13263	㏏
  13264	㏐
  13265	㏑
  13266	㏒
  13269	㏕
  13272	㏘
  13273	㏙
  13274	㏚
  13275	㏛
  13276	㏜
  13277	㏝
  13280	㏠
  13281	㏡
  13282	㏢
  13283	㏣
  13284	㏤
  13285	㏥
  13286	㏦
  13287	㏧
  13288	㏨
  13289	㏩
  13290	㏪
  13291	㏫
  13292	㏬
  13293	㏭
  13294	㏮
  13295	㏯
  13296	㏰
  13297	㏱
  13298	㏲
  13299	㏳
  13300	㏴
  13301	㏵
  13302	㏶
  13303	㏷
  13304	㏸
  13305	㏹
  13306	㏺
  13307	㏻
  13308	㏼
  13309	㏽
  13310	㏾
  13312	㐀
  13313	㐁
  13314	㐂
  13315	㐃
  13316	㐄
  13317	㐅
  13318	㐆
  13319	㐇
  13320	㐈
  13321	㐉
  13322	㐊
  13323	㐋
  13324	㐌
  13325	㐍
  13326	㐎
  13327	㐏
  13328	㐐
  13329	㐑
  13330	㐒
  13331	㐓
  13332	㐔
  13333	㐕
  13334	㐖
  13335	㐗
  13336	㐘
  13337	㐙
  13338	㐚
  13339	㐛
  13340	㐜
  13341	㐝
  13342	㐞
  13343	㐟
  13344	㐠
  13345	㐡
  13346	㐢
  13347	㐣
  13348	㐤
  13349	㐥
  13350	㐦
  13351	㐧
  13352	㐨
  13353	㐩
  13354	㐪
  13355	㐫
  13356	㐬
  13357	㐭
  13358	㐮
  13359	㐯
  13360	㐰
  13361	㐱
  13362	㐲
  13363	㐳
  13364	㐴
  13365	㐵
  13366	㐶
  13367	㐷
  13368	㐸
  13369	㐹
  13370	㐺
  13371	㐻
  13372	㐼
  13373	㐽
  13374	㐾
  13375	㐿
  13376	㑀
  13377	㑁
  13378	㑂
  13379	㑃
  13380	㑄
  13381	㑅
  13382	㑆
  13383	㑇
  13384	㑈
  13385	㑉
  13386	㑊
  13387	㑋
  13388	㑌
  13389	㑍
  13390	㑎
  13391	㑏
  13392	㑐
  13393	㑑
  13394	㑒
  13395	㑓
  13396	㑔
  13397	㑕
  13398	㑖
  13399	㑗
  13400	㑘
  13401	㑙
  13402	㑚
  13403	㑛
  13404	㑜
  13405	㑝
  13406	㑞
  13407	㑟
  13408	㑠
  13409	㑡
  13410	㑢
  13411	㑣
  13412	㑤
  13413	㑥
  13414	㑦
  13415	㑧
  13416	㑨
  13417	㑩
  13418	㑪
  13419	㑫
  13420	㑬
  13421	㑭
  13422	㑮
  13423	㑯
  13424	㑰
  13425	㑱
  13426	㑲
  13427	㑳
  13428	㑴
  13429	㑵
  13430	㑶
  13431	㑷
  13432	㑸
  13433	㑹
  13434	㑺
  13435	㑻
  13436	㑼
  13437	㑽
  13438	㑾
  13439	㑿
  13440	㒀
  13441	㒁
  13442	㒂
  13443	㒃
  13444	㒄
  13445	㒅
  13446	㒆
  13447	㒇
  13448	㒈
  13449	㒉
  13450	㒊
  13451	㒋
  13452	㒌
  13453	㒍
  13454	㒎
  13455	㒏
  13456	㒐
  13457	㒑
  13458	㒒
  13459	㒓
  13460	㒔
  13461	㒕
  13462	㒖
  13463	㒗
  13464	㒘
  13465	㒙
  13466	㒚
  13467	㒛
  13468	㒜
  13469	㒝
  13470	㒞
  13471	㒟
  13472	㒠
  13473	㒡
  13474	㒢
  13475	㒣
  13476	㒤
  13477	㒥
  13478	㒦
  13479	㒧
  13480	㒨
  13481	㒩
  13482	㒪
  13483	㒫
  13484	㒬
  13485	㒭
  13486	㒮
  13487	㒯
  13488	㒰
  13489	㒱
  13490	㒲
  13491	㒳
  13492	㒴
  13493	㒵
  13494	㒶
  13495	㒷
  13496	㒸
  13497	㒹
  13498	㒺
  13499	㒻
  13500	㒼
  13501	㒽
  13502	㒾
  13503	㒿
  13504	㓀
  13505	㓁
  13506	㓂
  13507	㓃
  13508	㓄
  13509	㓅
  13510	㓆
  13511	㓇
  13512	㓈
  13513	㓉
  13514	㓊
  13515	㓋
  13516	㓌
  13517	㓍
  13518	㓎
  13519	㓏
